cell,rate,w,method,eval,mean_reward,best_val_ber
R0.5_w2,0.5,2,random,240,,1.1879e-03
R0.5_w2,0.5,2,random,280,,1.1879e-03
R0.5_w2,0.5,2,random,320,,1.1879e-03
R0.5_w2,0.5,2,random,360,,8.4872e-04
R0.5_w2,0.5,2,random,400,,8.4872e-04
R0.5_w2,0.5,2,random,440,,8.4872e-04
R0.5_w2,0.5,2,random,480,,8.4872e-04
R0.5_w3,0.5,3,rl,40,2.4499,1.7696e-03
R0.5_w3,0.5,3,rl,80,2.4582,1.7696e-03
R0.5_w3,0.5,3,rl,120,2.3956,1.7696e-03
R0.5_w3,0.5,3,rl,160,2.7207,1.3119e-03
R0.5_w3,0.5,3,rl,200,2.6495,1.3119e-03
R0.5_w3,0.5,3,rl,240,2.4251,1.3119e-03
R0.5_w3,0.5,3,rl,280,2.5637,1.3119e-03
R0.5_w3,0.5,3,rl,320,2.5781,1.3119e-03
R0.5_w3,0.5,3,rl,360,2.9104,8.3846e-04
R0.5_w3,0.5,3,rl,400,2.7853,8.3846e-04
R0.5_w3,0.5,3,rl,440,2.8596,8.3846e-04
R0.5_w3,0.5,3,rl,480,2.9062,8.3846e-04
R0.5_w3,0.5,3,rl_peredge,40,2.5653,1.7696e-03
R0.5_w3,0.5,3,rl_peredge,80,2.5734,1.7696e-03
R0.5_w3,0.5,3,rl_peredge,120,2.3990,1.7696e-03
R0.5_w3,0.5,3,rl_peredge,160,2.7645,1.7696e-03
R0.5_w3,0.5,3,rl_peredge,200,2.8310,1.7696e-03
R0.5_w3,0.5,3,rl_peredge,240,2.8747,1.5191e-03
R0.5_w3,0.5,3,rl_peredge,280,3.0044,1.0535e-03
R0.5_w3,0.5,3,rl_peredge,320,3.1337,1.0535e-03
R0.5_w3,0.5,3,rl_peredge,360,3.2459,1.0535e-03
R0.5_w3,0.5,3,rl_peredge,400,3.2178,4.1430e-04
R0.5_w3,0.5,3,rl_peredge,440,2.9768,4.1430e-04
R0.5_w3,0.5,3,rl_peredge,480,3.1734,4.1430e-04
R0.5_w3,0.5,3,cem,40,,1.8328e-03
R0.5_w3,0.5,3,cem,80,,1.8328e-03
R0.5_w3,0.5,3,cem,120,,1.8328e-03
R0.5_w3,0.5,3,cem,160,,1.8328e-03
R0.5_w3,0.5,3,cem,200,,1.8328e-03
R0.5_w3,0.5,3,cem,240,,1.8328e-03
R0.5_w3,0.5,3,cem,280,,1.8328e-03
R0.5_w3,0.5,3,cem,320,,1.8328e-03
R0.5_w3,0.5,3,cem,360,,1.0930e-03
R0.5_w3,0.5,3,cem,400,,1.0930e-03
R0.5_w3,0.5,3,cem,440,,1.0930e-03
R0.5_w3,0.5,3,cem,480,,1.0930e-03
R0.5_w3,0.5,3,random,40,,1.7223e-03
R0.5_w3,0.5,3,random,80,,1.7223e-03
R0.5_w3,0.5,3,random,120,,1.7223e-03
R0.5_w3,0.5,3,random,160,,1.6296e-03
R0.5_w3,0.5,3,random,200,,1.6296e-03
R0.5_w3,0.5,3,random,240,,1.6296e-03
R0.5_w3,0.5,3,random,280,,1.6296e-03
R0.5_w3,0.5,3,random,320,,1.6296e-03
R0.5_w3,0.5,3,random,360,,1.6296e-03
R0.5_w3,0.5,3,random,400,,1.6296e-03
R0.5_w3,0.5,3,random,440,,1.6296e-03
R0.5_w3,0.5,3,random,480,,1.6296e-03
R0.667_w1,0.667,1,rl,40,2.2722,8.5518e-03
R0.667_w1,0.667,1,rl,80,2.1904,8.5518e-03
R0.667_w1,0.667,1,rl,120,2.0026,3.6415e-03
R0.667_w1,0.667,1,rl,160,2.3525,2.2485e-03
R0.667_w1,0.667,1,rl,200,2.3361,2.2485e-03
R0.667_w1,0.667,1,rl,240,2.1456,2.2485e-03
R0.667_w1,0.667,1,rl,280,2.2208,2.2485e-03
R0.667_w1,0.667,1,rl,320,2.5770,2.2485e-03
R0.667_w1,0.667,1,rl,360,2.6325,2.2485e-03
R0.667_w1,0.667,1,rl,400,2.3142,2.2485e-03
R0.667_w1,0.667,1,rl,440,2.7732,2.2485e-03
R0.667_w1,0.667,1,rl,480,2.5649,2.2485e-03
R0.667_w1,0.667,1,rl_peredge,40,2.4515,9.6526e-03
R0.667_w1,0.667,1,rl_peredge,80,2.4067,7.7044e-03
R0.667_w1,0.667,1,rl_peredge,120,2.5320,4.9554e-03
R0.667_w1,0.667,1,rl_peredge,160,2.2579,4.9554e-03
R0.667_w1,0.667,1,rl_peredge,200,3.1290,4.9554e-03
R0.667_w1,0.667,1,rl_peredge,240,2.7707,4.7843e-03
R0.667_w1,0.667,1,rl_peredge,280,2.5458,4.6504e-03
R0.667_w1,0.667,1,rl_peredge,320,2.5716,4.6504e-03
R0.667_w1,0.667,1,rl_peredge,360,2.6963,4.3243e-03
R0.667_w1,0.667,1,rl_peredge,400,2.7746,3.8029e-03
R0.667_w1,0.667,1,rl_peredge,440,2.8725,3.8029e-03
R0.667_w1,0.667,1,rl_peredge,480,2.8769,2.0806e-03
R0.667_w1,0.667,1,cem,40,,8.8552e-03
R0.667_w1,0.667,1,cem,80,,6.1193e-03
R0.667_w1,0.667,1,cem,120,,6.1193e-03
R0.667_w1,0.667,1,cem,160,,6.1193e-03
R0.667_w1,0.667,1,cem,200,,3.6512e-03
R0.667_w1,0.667,1,cem,240,,3.6512e-03
R0.667_w1,0.667,1,cem,280,,3.6512e-03
R0.667_w1,0.667,1,cem,320,,3.6512e-03
R0.667_w1,0.667,1,cem,360,,3.6512e-03
R0.667_w1,0.667,1,cem,400,,3.6512e-03
R0.667_w1,0.667,1,cem,440,,3.6512e-03
R0.667_w1,0.667,1,cem,480,,3.6512e-03
R0.667_w1,0.667,1,random,40,,1.1320e-02
R0.667_w1,0.667,1,random,80,,1.0205e-02
R0.667_w1,0.667,1,random,120,,4.0564e-03
R0.667_w1,0.667,1,random,160,,4.0564e-03
R0.667_w1,0.667,1,random,200,,3.0863e-03
R0.667_w1,0.667,1,random,240,,3.0863e-03
R0.667_w1,0.667,1,random,280,,3.0863e-03
R0.667_w1,0.667,1,random,320,,3.0863e-03
R0.667_w1,0.667,1,random,360,,3.0863e-03
R0.667_w1,0.667,1,random,400,,3.0863e-03
R0.667_w1,0.667,1,random,440,,3.0863e-03
R0.667_w1,0.667,1,random,480,,3.0863e-03
R0.667_w2,0.667,2,rl,40,2.3685,4.6502e-03
R0.667_w2,0.667,2,rl,80,2.2913,4.1992e-03
R0.667_w2,0.667,2,rl,120,2.1005,2.5391e-03
R0.667_w2,0.667,2,rl,160,2.5388,1.5962e-03
R0.667_w2,0.667,2,rl,200,2.7653,1.5962e-03
R0.667_w2,0.667,2,rl,240,2.4199,1.5962e-03
R0.667_w2,0.667,2,rl,280,2.4535,1.5962e-03
R0.667_w2,0.667,2,rl,320,2.5194,1.5962e-03
R0.667_w2,0.667,2,rl,360,2.8226,1.5962e-03
R0.667_w2,0.667,2,rl,400,2.6421,1.5962e-03
R0.667_w2,0.667,2,rl,440,2.9104,1.5962e-03
R0.667_w2,0.667,2,rl,480,2.5378,1.5962e-03
R0.667_w2,0.667,2,rl_peredge,40,2.3940,5.8754e-03
R0.667_w2,0.667,2,rl_peredge,80,2.5706,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,120,2.3948,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,160,2.4975,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,200,2.9474,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,240,2.9587,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,280,2.8763,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,320,2.8782,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,360,2.8241,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,400,2.9712,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,440,2.8078,1.6388e-03
R0.667_w2,0.667,2,rl_peredge,480,3.0002,1.6388e-03
R0.667_w2,0.667,2,cem,40,,5.0515e-03
R0.667_w2,0.667,2,cem,80,,4.2898e-03
R0.667_w2,0.667,2,cem,120,,2.9705e-03
R0.667_w2,0.667,2,cem,160,,1.6690e-03
R0.667_w2,0.667,2,cem,200,,1.6690e-03
R0.667_w2,0.667,2,cem,240,,1.6690e-03
R0.667_w2,0.667,2,cem,280,,1.5518e-03
R0.667_w2,0.667,2,cem,320,,1.5518e-03
R0.667_w2,0.667,2,cem,360,,1.5518e-03
R0.667_w2,0.667,2,cem,400,,1.5518e-03
R0.667_w2,0.667,2,cem,440,,1.5518e-03
R0.667_w2,0.667,2,cem,480,,1.5518e-03
R0.667_w2,0.667,2,random,40,,3.8583e-03
R0.667_w2,0.667,2,random,80,,3.1428e-03
R0.667_w2,0.667,2,random,120,,2.0508e-03
R0.667_w2,0.667,2,random,160,,2.0508e-03
R0.667_w2,0.667,2,random,200,,2.0508e-03
R0.667_w2,0.667,2,random,240,,2.0508e-03
R0.667_w2,0.667,2,random,280,,2.0508e-03
R0.667_w2,0.667,2,random,320,,2.0508e-03
R0.667_w2,0.667,2,random,360,,2.0508e-03
R0.667_w2,0.667,2,random,400,,2.0508e-03
R0.667_w2,0.667,2,random,440,,2.0508e-03
R0.667_w2,0.667,2,random,480,,2.0508e-03
