group,ROP_dBm,eq,pd_B_GHz,snr_ideal_dB,snr_dB,penalty_dB,ser
PAM4,-10.0,FFE,30.0,30.065606078410873,5.831026928018984,24.234579150391887,0.35675
PAM4,-10.0,FFE,40.0,30.065606078410873,20.927588864180905,9.138017214229968,0.0
PAM4,2.0,DFE6,30.0,30.023767352568388,9.449033150825713,20.574734201742675,0.039
PAM4,2.0,DFE6,40.0,30.023767352568388,26.969524351423043,3.0542430011453447,0.0
PAM6,-10.0,FFE,30.0,29.241448421591425,5.75436998807716,23.487078433514263,0.5535
PAM6,-10.0,FFE,40.0,29.241448421591425,20.555128286814135,8.68632013477729,0.0035
PAM6,2.0,DFE6,30.0,29.183226265078094,1.4754348742899226,27.70779139078817,0.35425
PAM6,2.0,DFE6,40.0,29.183226265078094,26.731453202466042,2.4517730626120517,0.00125
