# 5G NR BG2 component (Z=24, R=0.200)
ebn0_db,ber,fer
0.6,0.09933449074074074,0.3472222222222222
0.9,0.047665550595238096,0.16741071428571427
1.2,0.01821021086077412,0.06499133448873484
1.5,0.005450513538748833,0.020008003201280513
1.8,0.0007234375,0.002875
2.1,0.00027395833333333336,0.001
# SC-LDPC full-BP (L=30, w=2, R=0.189)
ebn0_db,ber,fer
0.0,0.2441592261904762,1.0
0.2,0.18856398809523808,1.0
0.35,0.13780505952380953,0.9875
0.5,0.06332589285714285,0.925
0.65,0.008933667645140248,0.3424657534246575
0.8,0.0009098639455782313,0.05714285714285714
# SC-LDPC windowed (W=8)
ebn0_db,ber,fer
0.35,0.19340401785714287,1.0
0.5,0.118203125,1.0
0.65,0.03800223214285714,0.9
0.8,0.005116514690982776,0.6382978723404256
