cell,M,Z,w,L,matched_SE,method,sc_rate,nu,ebn0@1e-5,ber@end,n4,girth,gain_vs_uniform_cem_dB,gain_vs_uniform_rr_dB
M256_Z32_w3_mpu13_mps9,256,32,3,200,5.3015,shaped_rr,0.7551,0.0155,15.298,0.000e+00,0,6,-2.888,-2.325
M256_Z32_w3_mpu13_mps9,256,32,3,200,5.3015,shaped_cem,0.7551,0.0155,14.737,0.000e+00,6368,4,-2.327,-1.764
M256_Z32_w3_mpu13_mps9,256,32,3,200,5.3015,constr_rl,0.7551,0.0155,14.742,0.000e+00,0,6,-2.332,-1.769
M256_Z32_w3_mpu13_mps9,256,32,3,200,5.3015,separate_rl,0.7059,0.0095,14.701,0.000e+00,0,6,-2.291,-1.728
M256_Z32_w3_mpu13_mps9,256,32,3,200,5.3015,rl_joint,0.7551,0.0155,11.634,0.000e+00,0,6,0.776,1.339
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,uniform_rr,0.5943,0.0,12.1,0.000e+00,0,6,-0.7,0.0
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,uniform_cem,0.5943,0.0,11.4,0.000e+00,1536,4,0.0,0.7
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,shaped_rr,0.694,0.0177,14.227,0.000e+00,0,6,-2.827,-2.127
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,shaped_cem,0.694,0.0177,13.721,0.000e+00,0,6,-2.321,-1.621
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,constr_rl,0.694,0.0177,14.245,0.000e+00,0,6,-2.845,-2.145
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,separate_rl,0.7181,0.0215,14.386,0.000e+00,0,6,-2.986,-2.286
M256_Z32_w3_mpu16_mps11,256,32,3,50,4.754,rl_joint,0.694,0.0177,13.717,0.000e+00,0,6,-2.317,-1.617
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,uniform_rr,0.607,0.0,12.13,0.000e+00,0,6,-0.522,0.0
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,uniform_cem,0.607,0.0,11.608,0.000e+00,6336,4,0.0,0.522
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,shaped_rr,0.7059,0.0177,13.955,0.000e+00,0,6,-2.347,-1.825
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,shaped_cem,0.7059,0.0177,13.901,0.000e+00,0,6,-2.293,-1.771
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,constr_rl,0.7059,0.0177,13.716,0.000e+00,0,6,-2.108,-1.586
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,separate_rl,0.7296,0.0207,14.27,0.000e+00,0,6,-2.662,-2.14
M256_Z32_w3_mpu16_mps11,256,32,3,200,4.856,rl_joint,0.7059,0.0177,13.919,0.000e+00,0,6,-2.311,-1.789
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,uniform_rr,0.5884,0.0,13.03,0.000e+00,3136,4,-0.967,0.0
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,uniform_cem,0.5884,0.0,12.063,0.000e+00,0,6,0.0,0.967
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,shaped_rr,0.6884,0.0185,15.002,0.000e+00,0,6,-2.939,-1.972
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,shaped_cem,0.6884,0.0185,14.177,0.000e+00,0,6,-2.114,-1.147
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,constr_rl,0.6884,0.0185,16.437,3.167e-06,0,6,-4.374,-3.407
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,separate_rl,0.6247,0.0095,13.88,0.000e+00,0,6,-1.817,-0.85
M256_Z64_w4_mpu16_mps11,256,64,4,50,4.707,rl_joint,0.6884,0.0185,16.064,0.000e+00,0,6,-4.001,-3.034
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,uniform_rr,0.6056,0.0,13.176,0.000e+00,12736,4,-0.624,0.0
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,uniform_cem,0.6056,0.0,12.552,0.000e+00,0,6,0.0,0.624
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,shaped_rr,0.7046,0.0177,14.931,0.000e+00,0,6,-2.379,-1.755
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,shaped_cem,0.7046,0.0177,14.868,0.000e+00,0,6,-2.316,-1.692
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,constr_rl,0.7046,0.0177,15.659,0.000e+00,0,6,-3.107,-2.483
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,separate_rl,0.6417,0.0087,12.695,0.000e+00,0,6,-0.143,0.481
M256_Z64_w4_mpu16_mps11,256,64,4,200,4.8449,rl_joint,0.7046,0.0177,16.025,0.000e+00,0,6,-3.473,-2.849
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,uniform_rr,0.6503,0.0,9.609,0.000e+00,0,6,-0.775,0.0
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,uniform_cem,0.6503,0.0,8.834,0.000e+00,0,6,0.0,0.775
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,shaped_rr,0.7439,0.0514,10.989,0.000e+00,0,6,-2.155,-1.38
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,shaped_cem,0.7439,0.0514,10.435,0.000e+00,1504,4,-1.601,-0.826
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,constr_rl,0.7439,0.0514,10.486,0.000e+00,0,6,-1.652,-0.877
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,separate_rl,0.8016,0.0716,11.226,0.000e+00,0,6,-2.392,-1.617
M64_Z32_w3_mpu13_mps9,64,32,3,50,3.9019,rl_joint,0.7439,0.0514,10.447,0.000e+00,0,6,-1.613,-0.838
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,uniform_rr,0.6627,0.0,8.814,0.000e+00,0,6,0.019,0.0
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,uniform_cem,0.6627,0.0,8.833,0.000e+00,0,6,0.0,-0.019
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,shaped_rr,0.7551,0.0506,10.92,0.000e+00,0,6,-2.087,-2.106
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,shaped_cem,0.7551,0.0506,10.678,0.000e+00,6304,4,-1.845,-1.864
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,constr_rl,0.7551,0.0506,9.96,0.000e+00,0,6,-1.127,-1.146
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,separate_rl,0.8116,0.0693,11.382,0.000e+00,0,6,-2.549,-2.568
M64_Z32_w3_mpu13_mps9,64,32,3,200,3.9761,rl_joint,0.7551,0.0506,9.981,0.000e+00,0,6,-1.148,-1.167
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,uniform_rr,0.6446,0.0,9.602,0.000e+00,0,6,0.419,0.0
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,uniform_cem,0.6446,0.0,10.021,0.000e+00,0,6,0.0,-0.419
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,shaped_rr,0.7387,0.0521,11.415,0.000e+00,0,6,-1.394,-1.813
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,shaped_cem,0.7387,0.0521,11.03,0.000e+00,0,6,-1.009,-1.428
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,constr_rl,0.7387,0.0521,11.879,0.000e+00,0,6,-1.858,-2.277
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,separate_rl,0.6884,0.0327,11.565,0.000e+00,0,6,-1.544,-1.963
M64_Z32_w4_mpu13_mps9,64,32,4,50,3.8675,rl_joint,0.7387,0.0521,11.815,0.000e+00,0,6,-1.794,-2.213
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,uniform_rr,0.6613,0.0,9.877,0.000e+00,0,6,-0.23,0.0
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,uniform_cem,0.6613,0.0,9.647,0.000e+00,0,6,0.0,0.23
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,shaped_rr,0.7538,0.0506,11.356,0.000e+00,0,6,-1.709,-1.479
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,shaped_cem,0.7538,0.0506,11.344,0.000e+00,0,6,-1.697,-1.467
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,constr_rl,0.7538,0.0506,12.001,0.000e+00,0,6,-2.354,-2.124
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,separate_rl,0.7046,0.0319,11.318,0.000e+00,0,6,-1.671,-1.441
M64_Z32_w4_mpu13_mps9,64,32,4,200,3.9681,rl_joint,0.7538,0.0506,12.0,0.000e+00,0,6,-2.353,-2.123
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,uniform_rr,0.7439,0.0,9.98,0.000e+00,0,6,0.006,0.0
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,uniform_cem,0.7439,0.0,9.986,0.000e+00,0,6,0.0,-0.006
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,shaped_rr,0.8339,0.0461,12.262,0.000e+00,0,6,-2.276,-2.282
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,shaped_cem,0.8339,0.0461,11.438,0.000e+00,0,6,-1.452,-1.458
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,constr_rl,0.8339,0.0461,11.803,0.000e+00,0,6,-1.817,-1.823
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,separate_rl,0.8016,0.0349,10.727,0.000e+00,0,6,-0.741,-0.747
M64_Z64_w3_mpu9_mps6,64,64,3,50,4.4633,rl_joint,0.8339,0.0461,11.975,0.000e+00,0,6,-1.989,-1.995
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,uniform_rr,0.7551,0.0,10.148,0.000e+00,0,6,-0.013,0.0
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,uniform_cem,0.7551,0.0,10.135,0.000e+00,0,6,0.0,0.013
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,shaped_rr,0.8432,0.0454,8.706,0.000e+00,0,6,1.429,1.442
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,shaped_cem,0.8432,0.0454,11.62,0.000e+00,0,6,-1.485,-1.472
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,constr_rl,0.8432,0.0454,11.66,0.000e+00,0,6,-1.525,-1.512
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,separate_rl,0.8116,0.0349,10.917,0.000e+00,0,6,-0.782,-0.769
M64_Z64_w3_mpu9_mps6,64,64,3,200,4.5303,rl_joint,0.8432,0.0454,11.669,0.000e+00,0,6,-1.534,-1.521
