key,group,M,mod,rate,sc_rate,se,w,L,Z,W,snr0,ebn0@1e-4,construction,ebn0_grid,ber_grid,fer_grid
M16_R0.75_w4_L100_Z32_wsweep,wsweep,16,16-QAM,0.75,0.7489,2.996,4,100,32,6,6.44,7.05,round_robin,4.94|5.69|6.44|7.14|7.84|8.64,1.224e-01|1.029e-01|4.396e-02|4.254e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.125|0.000|0.000
M16_R0.75_w4_L200_Z32_lsweep,lsweep,16,16-QAM,0.75,0.7538,3.015,4,200,32,6,6.73,7.02,round_robin,5.23|5.98|6.73|7.43|8.13|8.93,1.204e-01|9.868e-02|1.228e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M16_R0.75_w4_L30_Z32_lsweep,lsweep,16,16-QAM,0.75,0.7241,2.896,4,30,32,6,6.44,6.95,round_robin,4.94|5.69|6.44|7.14|7.84|8.64,1.127e-01|8.437e-02|1.971e-02|1.366e-05|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M16_R0.75_w6_L100_Z32_wsweep,wsweep,16,16-QAM,0.75,0.7439,2.976,6,100,32,8,7.32,7.95,round_robin,5.82|6.57|7.32|8.02|8.72|9.52,1.031e-01|7.182e-02|1.215e-02|5.856e-05|2.267e-05|0.000e+00,1.000|1.000|1.000|0.500|0.100|0.000
M16_R0.75_w8_L100_Z32_wsweep,wsweep,16,16-QAM,0.75,0.7387,2.955,8,100,32,10,7.03,7.63,round_robin,5.53|6.28|7.03|7.73|8.43|9.23,1.020e-01|7.290e-02|2.001e-02|4.246e-05|1.544e-06|4.981e-07,1.000|1.000|1.000|0.500|0.100|0.032
M16_R0.833_w3_L50_Z16_main_Z16,main_Z16,16,16-QAM,0.833,0.8339,3.335,3,50,16,6,6.67,7.69,round_robin,5.17|5.92|6.67|7.37|8.07|8.87,9.868e-02|8.289e-02|3.254e-02|4.080e-04|1.960e-05|0.000e+00,1.000|1.000|1.000|0.250|0.027|0.000
M16_R0.833_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.833,0.8339,3.335,3,50,32,6,6.97,7.24,round_robin,5.47|6.22|6.97|7.67|8.37|9.17,9.404e-02|7.363e-02|7.064e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M16_R0.833_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.833,0.8339,3.335,3,50,32,6,6.97,7.52,random_seed0,5.47|6.22|6.97|7.67|8.37|9.17,9.908e-02|7.469e-02|4.099e-03|3.778e-05|0.000e+00|0.000e+00,1.000|1.000|0.625|0.125|0.000|0.000
M16_R0.833_w3_L50_Z64_main_Z64,main_Z64,16,16-QAM,0.833,0.8339,3.335,3,50,64,6,6.97,7.26,round_robin,5.47|6.22|6.97|7.67|8.37|9.17,9.334e-02|7.279e-02|1.196e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M16_R0.875_w3_L50_Z16_main_Z16,main_Z16,16,16-QAM,0.875,0.8689,3.476,3,50,16,6,7.37,7.61,round_robin,5.87|6.62|7.37|8.07|8.77|9.57,8.187e-02|6.017e-02|3.717e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M16_R0.875_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.875,0.8689,3.476,3,50,32,6,7.37,7.67,round_robin,5.87|6.62|7.37|8.07|8.77|9.57,8.046e-02|6.162e-02|1.952e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M16_R0.875_w3_L50_Z32_main_Z32,main_Z32,16,16-QAM,0.875,0.8689,3.476,3,50,32,6,7.37,7.64,random_seed0,5.87|6.62|7.37|8.07|8.77|9.57,8.529e-02|6.762e-02|6.996e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
M16_R0.875_w3_L50_Z64_main_Z64,main_Z64,16,16-QAM,0.875,0.8689,3.476,3,50,64,6,7.37,7.64,round_robin,5.87|6.62|7.37|8.07|8.77|9.57,8.165e-02|6.208e-02|8.319e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M256_R0.5_w3_L50_Z16_main_Z16,main_Z16,256,256-QAM,0.5,0.4832,3.865,3,50,16,6,9.94,10.24,round_robin,8.44|9.19|9.94|10.64|11.34|12.14,2.097e-01|1.403e-01|1.953e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M256_R0.5_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.5,0.4832,3.865,3,50,32,6,9.94,10.47,round_robin,8.44|9.19|9.94|10.64|11.34|12.14,2.154e-01|1.704e-01|3.529e-02|1.511e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.250|0.000|0.000
M256_R0.5_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.5,0.4832,3.865,3,50,32,6,9.94,10.29,random_seed0,8.44|9.19|9.94|10.64|11.34|12.14,2.199e-01|1.883e-01|9.864e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M256_R0.5_w3_L50_Z64_main_Z64,main_Z64,256,256-QAM,0.5,0.4832,3.865,3,50,64,6,9.94,9.93,round_robin,8.44|9.19|9.94|10.64|11.34|12.14,2.123e-01|1.653e-01|9.256e-05|9.445e-06|0.000e+00|0.000e+00,1.000|1.000|0.625|0.125|0.000|0.000
M256_R0.667_w3_L50_Z16_main_Z16,main_Z16,256,256-QAM,0.667,0.6503,5.203,3,50,16,6,12.5,12.78,round_robin,11.0|11.75|12.5|13.2|13.9|14.7,1.452e-01|1.082e-01|9.951e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M256_R0.667_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.667,0.6503,5.203,3,50,32,6,12.5,12.91,round_robin,11.0|11.75|12.5|13.2|13.9|14.7,1.491e-01|1.084e-01|3.702e-03|7.556e-06|0.000e+00|0.000e+00,1.000|1.000|0.750|0.250|0.000|0.000
M256_R0.667_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.667,0.6503,5.203,3,50,32,6,12.5,12.80,random_seed0,11.0|11.75|12.5|13.2|13.9|14.7,1.549e-01|1.272e-01|1.961e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M256_R0.667_w3_L50_Z64_main_Z64,main_Z64,256,256-QAM,0.667,0.6503,5.203,3,50,64,6,12.5,12.47,round_robin,11.0|11.75|12.5|13.2|13.9|14.7,1.461e-01|1.119e-01|7.178e-05|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M256_R0.75_w12_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7278,5.823,12,100,32,14,14.83,15.72,round_robin,13.33|14.08|14.83|15.53|16.23|17.03,9.504e-02|5.003e-02|1.610e-02|1.370e-03|0.000e+00|0.000e+00,1.000|1.000|1.000|0.250|0.000|0.000
M256_R0.75_w16_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7163,5.730,16,100,32,18,13.94,14.37,round_robin,12.44|13.19|13.94|14.64|15.34|16.14,1.152e-01|9.833e-02|3.975e-02|2.114e-06|0.000e+00|0.000e+00,1.000|1.000|1.000|0.125|0.000|0.000
M256_R0.75_w3_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7514,6.011,3,100,32,6,13.94,14.32,round_robin,12.44|13.19|13.94|14.64|15.34|16.14,1.187e-01|9.214e-02|1.249e-02|1.830e-06|0.000e+00|0.000e+00,1.000|1.000|0.500|0.125|0.000|0.000
M256_R0.75_w3_L50_Z16_main_Z16,main_Z16,256,256-QAM,0.75,0.7439,5.951,3,50,16,6,13.64,13.94,round_robin,12.14|12.89|13.64|14.34|15.04|15.84,1.137e-01|8.433e-02|1.605e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M256_R0.75_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.75,0.7439,5.951,3,50,32,6,13.64,13.95,round_robin,12.14|12.89|13.64|14.34|15.04|15.84,1.152e-01|8.996e-02|2.651e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M256_R0.75_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.75,0.7439,5.951,3,50,32,6,13.64,13.96,random_seed0,12.14|12.89|13.64|14.34|15.04|15.84,1.236e-01|1.008e-01|3.147e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M256_R0.75_w3_L50_Z64_main_Z64,main_Z64,256,256-QAM,0.75,0.7439,5.951,3,50,64,6,13.64,14.33,round_robin,12.14|12.89|13.64|14.34|15.04|15.84,1.172e-01|9.126e-02|2.577e-02|9.445e-05|4.533e-06|0.000e+00,1.000|1.000|0.875|0.250|0.100|0.000
M256_R0.75_w4_L100_Z32_lsweep,lsweep,256,256-QAM,0.75,0.7489,5.991,4,100,32,6,14.53,14.81,round_robin,13.03|13.78|14.53|15.23|15.93|16.73,1.150e-01|8.897e-02|9.660e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
M256_R0.75_w4_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7489,5.991,4,100,32,6,14.53,14.81,round_robin,13.03|13.78|14.53|15.23|15.93|16.73,1.150e-01|8.897e-02|9.660e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
M256_R0.75_w4_L200_Z32_lsweep,lsweep,256,256-QAM,0.75,0.7538,6.031,4,200,32,6,14.83,15.12,round_robin,13.33|14.08|14.83|15.53|16.23|17.03,1.111e-01|8.823e-02|1.245e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
M256_R0.75_w4_L30_Z32_lsweep,lsweep,256,256-QAM,0.75,0.7241,5.792,4,30,32,6,14.23,14.82,round_robin,12.73|13.48|14.23|14.93|15.63|16.43,9.866e-02|6.122e-02|4.596e-03|4.780e-05|0.000e+00|0.000e+00,1.000|1.000|0.500|0.250|0.000|0.000
M256_R0.75_w6_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7439,5.951,6,100,32,8,15.43,16.04,round_robin,13.93|14.68|15.43|16.13|16.83|17.63,9.566e-02|5.645e-02|9.212e-03|5.289e-05|3.022e-06|0.000e+00,1.000|1.000|1.000|0.625|0.200|0.000
M256_R0.75_w8_L100_Z32_wsweep,wsweep,256,256-QAM,0.75,0.7387,5.909,8,100,32,10,14.83,15.51,round_robin,13.33|14.08|14.83|15.53|16.23|17.03,9.732e-02|7.357e-02|1.822e-02|8.878e-05|0.000e+00|4.981e-07,1.000|1.000|1.000|0.500|0.000|0.032
M256_R0.833_w3_L50_Z16_main_Z16,main_Z16,256,256-QAM,0.833,0.8339,6.671,3,50,16,6,15.05,15.92,round_robin,13.55|14.3|15.05|15.75|16.45|17.25,8.711e-02|6.014e-02|9.157e-03|8.462e-04|0.000e+00|0.000e+00,1.000|1.000|0.500|0.125|0.000|0.000
M256_R0.833_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.833,0.8339,6.671,3,50,32,6,15.05,15.51,round_robin,13.55|14.3|15.05|15.75|16.45|17.25,8.836e-02|6.919e-02|1.645e-02|7.556e-06|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M256_R0.833_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.833,0.8339,6.671,3,50,32,6,15.05,15.76,random_seed0,13.55|14.3|15.05|15.75|16.45|17.25,9.205e-02|7.106e-02|1.119e-02|1.058e-04|0.000e+00|0.000e+00,1.000|1.000|0.500|0.125|0.000|0.000
M256_R0.833_w3_L50_Z64_main_Z64,main_Z64,256,256-QAM,0.833,0.8339,6.671,3,50,64,6,15.05,15.54,round_robin,13.55|14.3|15.05|15.75|16.45|17.25,8.830e-02|6.436e-02|5.423e-03|1.889e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.125|0.000|0.000
M256_R0.875_w3_L50_Z16_main_Z16,main_Z16,256,256-QAM,0.875,0.8689,6.951,3,50,16,6,15.77,16.03,round_robin,14.27|15.02|15.77|16.47|17.17|17.97,7.113e-02|4.883e-02|6.558e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.250|0.000|0.000|0.000
M256_R0.875_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.875,0.8689,6.951,3,50,32,6,15.47,16.40,round_robin,13.97|14.72|15.47|16.17|16.87|17.67,7.850e-02|6.463e-02|1.971e-02|2.837e-03|0.000e+00|0.000e+00,1.000|1.000|0.875|0.250|0.000|0.000
M256_R0.875_w3_L50_Z32_main_Z32,main_Z32,256,256-QAM,0.875,0.8689,6.951,3,50,32,6,15.47,15.78,random_seed0,13.97|14.72|15.47|16.17|16.87|17.67,8.061e-02|6.765e-02|2.596e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M256_R0.875_w3_L50_Z64_main_Z64,main_Z64,256,256-QAM,0.875,0.8689,6.951,3,50,64,6,15.47,15.77,round_robin,13.97|14.72|15.47|16.17|16.87|17.67,7.791e-02|6.150e-02|1.685e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.5_w3_L50_Z16_main_Z16,main_Z16,4,QPSK,0.5,0.4832,0.966,3,50,16,6,1.73,2.32,round_robin,0.23|0.98|1.73|2.43|3.13|3.93,2.202e-01|1.808e-01|1.479e-02|3.778e-05|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M4_R0.5_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.5,0.4832,0.966,3,50,32,6,1.73,1.95,round_robin,0.23|0.98|1.73|2.43|3.13|3.93,2.228e-01|1.827e-01|2.531e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.5_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.5,0.4832,0.966,3,50,32,6,1.73,2.35,random_seed0,0.23|0.98|1.73|2.43|3.13|3.93,2.273e-01|1.889e-01|3.542e-02|4.533e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.125|0.000|0.000
M4_R0.5_w3_L50_Z64_main_Z64,main_Z64,4,QPSK,0.5,0.4832,0.966,3,50,64,6,1.73,1.92,round_robin,0.23|0.98|1.73|2.43|3.13|3.93,2.225e-01|1.838e-01|1.301e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.667_w3_L50_Z16_main_Z16,main_Z16,4,QPSK,0.667,0.6503,1.301,3,50,16,6,2.5,2.81,round_robin,1.0|1.75|2.5|3.2|3.9|4.7,1.591e-01|1.222e-01|2.273e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M4_R0.667_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.667,0.6503,1.301,3,50,32,6,2.5,2.75,round_robin,1.0|1.75|2.5|3.2|3.9|4.7,1.602e-01|1.249e-01|4.919e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M4_R0.667_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.667,0.6503,1.301,3,50,32,6,2.5,2.80,random_seed0,1.0|1.75|2.5|3.2|3.9|4.7,1.632e-01|1.309e-01|1.685e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.667_w3_L50_Z64_main_Z64,main_Z64,4,QPSK,0.667,0.6503,1.301,3,50,64,6,2.21,2.55,round_robin,0.71|1.46|2.21|2.91|3.61|4.41,1.708e-01|1.424e-01|6.492e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.75_w12_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7278,1.456,12,100,32,14,3.64,4.36,round_robin,2.14|2.89|3.64|4.34|5.04|5.84,1.144e-01|7.163e-02|1.125e-02|1.211e-04|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M4_R0.75_w16_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7163,1.433,16,100,32,18,3.04,3.36,round_robin,1.54|2.29|3.04|3.74|4.44|5.24,1.251e-01|1.014e-01|3.371e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.75_w3_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7514,1.503,3,100,32,6,3.04,3.29,round_robin,1.54|2.29|3.04|3.74|4.44|5.24,1.293e-01|1.017e-01|5.008e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.75_w3_L50_Z16_main_Z16,main_Z16,4,QPSK,0.75,0.7439,1.488,3,50,16,6,3.04,3.52,round_robin,1.54|2.29|3.04|3.74|4.44|5.24,1.242e-01|9.501e-02|1.436e-03|3.022e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.125|0.000|0.000
M4_R0.75_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.75,0.7439,1.488,3,50,32,6,3.04,3.29,round_robin,1.54|2.29|3.04|3.74|4.44|5.24,1.258e-01|9.369e-02|4.235e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M4_R0.75_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.75,0.7439,1.488,3,50,32,6,3.04,3.57,random_seed0,1.54|2.29|3.04|3.74|4.44|5.24,1.273e-01|9.630e-02|4.647e-03|3.022e-05|0.000e+00|0.000e+00,1.000|1.000|0.875|0.125|0.000|0.000
M4_R0.75_w3_L50_Z64_main_Z64,main_Z64,4,QPSK,0.75,0.7439,1.488,3,50,64,6,2.74,3.06,round_robin,1.24|1.99|2.74|3.44|4.14|4.94,1.334e-01|1.086e-01|3.599e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M4_R0.75_w4_L100_Z32_lsweep,lsweep,4,QPSK,0.75,0.7489,1.498,4,100,32,6,3.34,3.62,round_robin,1.84|2.59|3.34|4.04|4.74|5.54,1.219e-01|9.772e-02|9.864e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.75_w4_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7489,1.498,4,100,32,6,3.34,3.62,round_robin,1.84|2.59|3.34|4.04|4.74|5.54,1.219e-01|9.772e-02|9.864e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.75_w4_L200_Z32_lsweep,lsweep,4,QPSK,0.75,0.7538,1.508,4,200,32,6,3.34,3.64,round_robin,1.84|2.59|3.34|4.04|4.74|5.54,1.241e-01|1.024e-01|1.969e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M4_R0.75_w4_L30_Z32_lsweep,lsweep,4,QPSK,0.75,0.7241,1.448,4,30,32,6,3.34,3.60,round_robin,1.84|2.59|3.34|4.04|4.74|5.54,1.114e-01|7.125e-02|6.604e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M4_R0.75_w6_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7439,1.488,6,100,32,8,3.94,4.39,round_robin,2.44|3.19|3.94|4.64|5.34|6.14,1.062e-01|6.900e-02|4.826e-03|1.133e-05|3.022e-06|0.000e+00,1.000|1.000|1.000|0.250|0.100|0.000
M4_R0.75_w8_L100_Z32_wsweep,wsweep,4,QPSK,0.75,0.7387,1.477,8,100,32,10,3.64,4.34,round_robin,2.14|2.89|3.64|4.34|5.04|5.84,1.085e-01|7.396e-02|1.378e-02|9.843e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.375|0.000|0.000
M4_R0.833_w3_L50_Z16_main_Z16,main_Z16,4,QPSK,0.833,0.8339,1.668,3,50,16,6,3.57,3.83,round_robin,2.07|2.82|3.57|4.27|4.97|5.77,9.712e-02|7.496e-02|5.908e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.833_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.833,0.8339,1.668,3,50,32,6,3.57,3.82,round_robin,2.07|2.82|3.57|4.27|4.97|5.77,9.942e-02|7.838e-02|4.579e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M4_R0.833_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.833,0.8339,1.668,3,50,32,6,3.57,3.83,random_seed0,2.07|2.82|3.57|4.27|4.97|5.77,1.010e-01|7.905e-02|6.143e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M4_R0.833_w3_L50_Z64_main_Z64,main_Z64,4,QPSK,0.833,0.8339,1.668,3,50,64,6,3.57,4.13,round_robin,2.07|2.82|3.57|4.27|4.97|5.77,9.890e-02|7.554e-02|5.193e-03|3.589e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.125|0.000|0.000
M4_R0.875_w3_L50_Z16_main_Z16,main_Z16,4,QPSK,0.875,0.8689,1.738,3,50,16,6,4.0,4.27,round_robin,2.5|3.25|4.0|4.7|5.4|6.2,8.217e-02|6.322e-02|8.017e-03|0.000e+00|4.901e-06|0.000e+00,1.000|1.000|0.500|0.000|0.027|0.000
M4_R0.875_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.875,0.8689,1.738,3,50,32,6,4.0,4.21,round_robin,2.5|3.25|4.0|4.7|5.4|6.2,8.386e-02|6.403e-02|1.802e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.375|0.000|0.000|0.000
M4_R0.875_w3_L50_Z32_main_Z32,main_Z32,4,QPSK,0.875,0.8689,1.738,3,50,32,6,4.0,4.27,random_seed0,2.5|3.25|4.0|4.7|5.4|6.2,8.657e-02|6.834e-02|6.732e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
