key,group,M,mod,rate,sc_rate,se,w,L,Z,W,snr0,ebn0@1e-4,construction,ebn0_grid,ber_grid,fer_grid
M4_R0.875_w3_L50_Z64_main_Z64,main_Z64,4,QPSK,0.875,0.8689,1.738,3,50,64,6,3.7,4.02,round_robin,2.2|2.95|3.7|4.4|5.1|5.9,8.947e-02|7.195e-02|3.109e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M64_R0.5_w3_L50_Z16_main_Z16,main_Z16,64,64-QAM,0.5,0.4832,2.899,3,50,16,6,7.23,7.49,round_robin,5.73|6.48|7.23|7.93|8.63|9.43,1.936e-01|1.411e-01|6.452e-03|0.000e+00|1.634e-06|0.000e+00,1.000|1.000|0.875|0.000|0.027|0.000
M64_R0.5_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.5,0.4832,2.899,3,50,32,6,6.94,7.23,round_robin,5.44|6.19|6.94|7.64|8.34|9.14,2.147e-01|1.829e-01|1.215e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M64_R0.5_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.5,0.4832,2.899,3,50,32,6,6.94,7.63,random_seed0,5.44|6.19|6.94|7.64|8.34|9.14,2.242e-01|1.928e-01|8.233e-02|9.445e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.250|0.000|0.000
M64_R0.5_w3_L50_Z64_main_Z64,main_Z64,64,64-QAM,0.5,0.4832,2.899,3,50,64,6,6.94,7.45,round_robin,5.44|6.19|6.94|7.64|8.34|9.14,2.125e-01|1.778e-01|2.888e-02|1.133e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.250|0.000|0.000
M64_R0.667_w3_L50_Z16_main_Z16,main_Z16,64,64-QAM,0.667,0.6503,3.902,3,50,16,6,8.89,9.59,round_robin,7.39|8.14|8.89|9.59|10.29|11.09,1.483e-01|1.114e-01|2.879e-03|9.822e-05|0.000e+00|0.000e+00,1.000|1.000|0.500|0.125|0.000|0.000
M64_R0.667_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.667,0.6503,3.902,3,50,32,6,8.89,9.00,round_robin,7.39|8.14|8.89|9.59|10.29|11.09,1.500e-01|1.245e-01|3.740e-04|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.500|0.000|0.000|0.000
M64_R0.667_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.667,0.6503,3.902,3,50,32,6,8.89,9.40,random_seed0,7.39|8.14|8.89|9.59|10.29|11.09,1.573e-01|1.313e-01|1.562e-02|1.511e-05|0.000e+00|0.000e+00,1.000|1.000|1.000|0.125|0.000|0.000
M64_R0.667_w3_L50_Z64_main_Z64,main_Z64,64,64-QAM,0.667,0.6503,3.902,3,50,64,6,8.89,9.11,round_robin,7.39|8.14|8.89|9.59|10.29|11.09,1.481e-01|1.190e-01|5.950e-04|1.889e-06|1.511e-06|0.000e+00,1.000|1.000|1.000|0.125|0.100|0.000
M64_R0.75_w12_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7278,4.367,12,100,32,14,10.63,11.30,round_robin,9.13|9.88|10.63|11.33|12.03|12.83,1.059e-01|6.670e-02|1.398e-02|7.869e-05|0.000e+00|0.000e+00,1.000|1.000|0.875|0.375|0.000|0.000
M64_R0.75_w16_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7163,4.298,16,100,32,18,10.03,10.31,round_robin,8.53|9.28|10.03|10.73|11.43|12.23,1.156e-01|9.543e-02|1.077e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M64_R0.75_w3_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7514,4.508,3,100,32,6,10.03,9.89,round_robin,8.53|9.28|10.03|10.73|11.43|12.23,1.189e-01|9.799e-02|2.197e-05|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.250|0.000|0.000|0.000
M64_R0.75_w3_L50_Z16_main_Z16,main_Z16,64,64-QAM,0.75,0.7439,4.463,3,50,16,6,9.73,10.03,round_robin,8.23|8.98|9.73|10.43|11.13|11.93,1.210e-01|9.100e-02|1.691e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M64_R0.75_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.75,0.7439,4.463,3,50,32,6,9.73,10.44,round_robin,8.23|8.98|9.73|10.43|11.13|11.93,1.216e-01|9.851e-02|1.175e-02|1.133e-04|0.000e+00|0.000e+00,1.000|1.000|0.625|0.125|0.000|0.000
M64_R0.75_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.75,0.7439,4.463,3,50,32,6,9.73,10.03,random_seed0,8.23|8.98|9.73|10.43|11.13|11.93,1.239e-01|9.995e-02|1.984e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.875|0.000|0.000|0.000
M64_R0.75_w3_L50_Z64_main_Z64,main_Z64,64,64-QAM,0.75,0.7439,4.463,3,50,64,6,9.73,10.13,round_robin,8.23|8.98|9.73|10.43|11.13|11.93,1.190e-01|9.506e-02|8.625e-03|3.778e-06|0.000e+00|0.000e+00,1.000|1.000|0.750|0.125|0.000|0.000
M64_R0.75_w4_L100_Z32_lsweep,lsweep,64,64-QAM,0.75,0.7489,4.494,4,100,32,6,10.63,10.89,round_robin,9.13|9.88|10.63|11.33|12.03|12.83,1.099e-01|8.111e-02|6.277e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M64_R0.75_w4_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7489,4.494,4,100,32,6,10.63,10.89,round_robin,9.13|9.88|10.63|11.33|12.03|12.83,1.099e-01|8.111e-02|6.277e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.625|0.000|0.000|0.000
M64_R0.75_w4_L200_Z32_lsweep,lsweep,64,64-QAM,0.75,0.7538,4.523,4,200,32,6,10.63,10.45,round_robin,9.13|9.88|10.63|11.33|12.03|12.83,1.141e-01|9.277e-02|1.087e-05|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.125|0.000|0.000|0.000
M64_R0.75_w4_L30_Z32_lsweep,lsweep,64,64-QAM,0.75,0.7241,4.344,4,30,32,6,10.03,10.34,round_robin,8.53|9.28|10.03|10.73|11.43|12.23,1.088e-01|8.345e-02|2.178e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M64_R0.75_w6_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7439,4.463,6,100,32,8,11.22,11.76,round_robin,9.72|10.47|11.22|11.92|12.62|13.42,9.842e-02|6.885e-02|6.056e-03|3.022e-05|4.533e-06|0.000e+00,1.000|1.000|1.000|0.875|0.300|0.000
M64_R0.75_w8_L100_Z32_wsweep,wsweep,64,64-QAM,0.75,0.7387,4.432,8,100,32,10,10.93,11.50,round_robin,9.43|10.18|10.93|11.63|12.33|13.13,9.622e-02|6.462e-02|1.359e-02|3.281e-05|0.000e+00|2.988e-06,1.000|1.000|1.000|0.375|0.000|0.032
M64_R0.833_w3_L50_Z16_main_Z16,main_Z16,64,64-QAM,0.833,0.8339,5.003,3,50,16,6,10.86,11.57,round_robin,9.36|10.11|10.86|11.56|12.26|13.06,8.842e-02|6.368e-02|4.428e-03|1.058e-04|0.000e+00|0.000e+00,1.000|1.000|0.500|0.125|0.000|0.000
M64_R0.833_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.833,0.8339,5.003,3,50,32,6,10.56,10.88,round_robin,9.06|9.81|10.56|11.26|11.96|12.76,9.680e-02|7.851e-02|2.900e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|1.000|0.000|0.000|0.000
M64_R0.833_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.833,0.8339,5.003,3,50,32,6,10.56,11.29,random_seed0,9.06|9.81|10.56|11.26|11.96|12.76,9.967e-02|8.187e-02|2.986e-02|1.398e-04|0.000e+00|0.000e+00,1.000|1.000|1.000|0.250|0.000|0.000
M64_R0.833_w3_L50_Z64_main_Z64,main_Z64,64,64-QAM,0.833,0.8339,5.003,3,50,64,6,10.86,11.30,round_robin,9.36|10.11|10.86|11.56|12.26|13.06,9.045e-02|6.967e-02|3.997e-03|1.133e-05|0.000e+00|0.000e+00,1.000|1.000|0.750|0.250|0.000|0.000
M64_R0.875_w3_L50_Z16_main_Z16,main_Z16,64,64-QAM,0.875,0.8689,5.213,3,50,16,6,11.27,11.73,round_robin,9.77|10.52|11.27|11.97|12.67|13.47,7.692e-02|5.961e-02|1.510e-02|7.556e-06|1.144e-05|0.000e+00,1.000|1.000|0.750|0.125|0.054|0.000
M64_R0.875_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.875,0.8689,5.213,3,50,32,6,11.27,11.56,round_robin,9.77|10.52|11.27|11.97|12.67|13.47,7.907e-02|6.458e-02|1.281e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M64_R0.875_w3_L50_Z32_main_Z32,main_Z32,64,64-QAM,0.875,0.8689,5.213,3,50,32,6,11.27,11.56,random_seed0,9.77|10.52|11.27|11.97|12.67|13.47,8.377e-02|6.523e-02|1.160e-02|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
M64_R0.875_w3_L50_Z64_main_Z64,main_Z64,64,64-QAM,0.875,0.8689,5.213,3,50,64,6,11.27,11.54,round_robin,9.77|10.52|11.27|11.97|12.67|13.47,7.885e-02|6.090e-02|8.564e-03|0.000e+00|0.000e+00|0.000e+00,1.000|1.000|0.750|0.000|0.000|0.000
