M,Pin_dBm,sigma_eff,coded_ber,uncoded_ber,s_per_frame
16,-6,0.13110452607385592,0.0,0.011634165846456693,1.0811694115400314
16,-4,0.1258993755570696,0.0,0.011595718503937008,1.024548664689064
16,-2,0.1237242320991353,0.0,0.011595718503937008,1.0138537138700485
16,0,0.12541733452109638,0.0,0.011618786909448819,0.9920014441013336
16,2,0.1339818484322499,0.0,0.01194943405511811,1.0030979067087173
16,4,0.15630165212809383,0.0,0.015425073818897638,1.0439645498991013
16,5,0.176318897910888,0.0,0.022168737696850394,1.064597561955452
16,6,0.20514955372438146,0.0,0.03707092765748032,1.1124228984117508
16,7,0.24585342570010973,0.0,0.06223855807086614,1.1653289943933487
16,8,0.30275082003490555,0.002792484504132231,0.09980161171259842,1.2719413489103317
16,9,0.38252612289066534,0.16281960227272727,0.14534633366141733,1.3082008063793182
