cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.5_w3,0.5,3,rl_peredge,560,-0.0703,0.0375
R0.5_w3,0.5,3,rl_peredge,640,-0.0703,0.0250
R0.5_w3,0.5,3,rl_peredge,720,-0.0297,0.0125
R0.5_w3,0.5,3,rl_peredge,800,-0.0266,0.0000
R0.5_w3,0.5,3,cem,80,,0.0750
R0.5_w3,0.5,3,cem,160,,0.0750
R0.5_w3,0.5,3,cem,240,,0.0375
R0.5_w3,0.5,3,cem,320,,0.0375
R0.5_w3,0.5,3,cem,400,,0.0375
R0.5_w3,0.5,3,cem,480,,0.0375
R0.5_w3,0.5,3,cem,560,,0.0375
R0.5_w3,0.5,3,cem,640,,0.0375
R0.5_w3,0.5,3,cem,720,,0.0375
R0.5_w3,0.5,3,cem,800,,0.0375
R0.5_w3,0.5,3,random,80,,0.5000
R0.5_w3,0.5,3,random,160,,0.0375
R0.5_w3,0.5,3,random,240,,0.0375
R0.5_w3,0.5,3,random,320,,0.0375
R0.5_w3,0.5,3,random,400,,0.0375
R0.5_w3,0.5,3,random,480,,0.0375
R0.5_w3,0.5,3,random,560,,0.0375
R0.5_w3,0.5,3,random,640,,0.0375
R0.5_w3,0.5,3,random,720,,0.0375
R0.5_w3,0.5,3,random,800,,0.0375
R0.667_w1,0.667,1,rl,80,-0.0750,0.0500
R0.667_w1,0.667,1,rl,160,-0.1609,0.0500
R0.667_w1,0.667,1,rl,240,-0.0672,0.0500
R0.667_w1,0.667,1,rl,320,-0.0766,0.0500
R0.667_w1,0.667,1,rl,400,-0.0469,0.0000
R0.667_w1,0.667,1,rl,480,-0.0594,0.0000
R0.667_w1,0.667,1,rl,560,-0.1109,0.0000
R0.667_w1,0.667,1,rl,640,-0.0656,0.0000
R0.667_w1,0.667,1,rl,720,-0.0547,0.0000
R0.667_w1,0.667,1,rl,800,-0.0922,0.0000
R0.667_w1,0.667,1,rl_peredge,80,-0.0859,0.0500
R0.667_w1,0.667,1,rl_peredge,160,-0.1594,0.0500
R0.667_w1,0.667,1,rl_peredge,240,-0.0922,0.0500
R0.667_w1,0.667,1,rl_peredge,320,-0.0844,0.0500
R0.667_w1,0.667,1,rl_peredge,400,-0.0781,0.0500
R0.667_w1,0.667,1,rl_peredge,480,-0.0469,0.0500
R0.667_w1,0.667,1,rl_peredge,560,-0.0625,0.0500
R0.667_w1,0.667,1,rl_peredge,640,-0.0969,0.0500
R0.667_w1,0.667,1,rl_peredge,720,-0.1141,0.0125
R0.667_w1,0.667,1,rl_peredge,800,-0.0281,0.0125
R0.667_w1,0.667,1,cem,80,,0.0750
R0.667_w1,0.667,1,cem,160,,0.0750
R0.667_w1,0.667,1,cem,240,,0.0375
R0.667_w1,0.667,1,cem,320,,0.0375
R0.667_w1,0.667,1,cem,400,,0.0375
R0.667_w1,0.667,1,cem,480,,0.0375
R0.667_w1,0.667,1,cem,560,,0.0375
R0.667_w1,0.667,1,cem,640,,0.0375
R0.667_w1,0.667,1,cem,720,,0.0250
R0.667_w1,0.667,1,cem,800,,0.0250
R0.667_w1,0.667,1,random,80,,0.0500
R0.667_w1,0.667,1,random,160,,0.0500
R0.667_w1,0.667,1,random,240,,0.0500
R0.667_w1,0.667,1,random,320,,0.0500
R0.667_w1,0.667,1,random,400,,0.0375
R0.667_w1,0.667,1,random,480,,0.0375
R0.667_w1,0.667,1,random,560,,0.0375
R0.667_w1,0.667,1,random,640,,0.0375
R0.667_w1,0.667,1,random,720,,0.0375
R0.667_w1,0.667,1,random,800,,0.0375
R0.667_w2,0.667,2,rl,80,-0.3063,0.2250
R0.667_w2,0.667,2,rl,160,-0.2313,0.2250
R0.667_w2,0.667,2,rl,240,-0.2062,0.0625
R0.667_w2,0.667,2,rl,320,-0.3563,0.0625
R0.667_w2,0.667,2,rl,400,-0.1594,0.0625
R0.667_w2,0.667,2,rl,480,-0.2094,0.0625
