cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.875_w1,0.875,1,rl,800,-0.0938,0.0375
R0.875_w1,0.875,1,rl_peredge,80,-0.1938,0.0625
R0.875_w1,0.875,1,rl_peredge,160,-0.0359,0.0625
R0.875_w1,0.875,1,rl_peredge,240,-0.0672,0.0375
R0.875_w1,0.875,1,rl_peredge,320,-0.0484,0.0375
R0.875_w1,0.875,1,rl_peredge,400,-0.1172,0.0375
R0.875_w1,0.875,1,rl_peredge,480,-0.0656,0.0375
R0.875_w1,0.875,1,rl_peredge,560,-0.0437,0.0375
R0.875_w1,0.875,1,rl_peredge,640,-0.1031,0.0375
R0.875_w1,0.875,1,rl_peredge,720,-0.0391,0.0125
R0.875_w1,0.875,1,rl_peredge,800,-0.1016,0.0125
R0.875_w1,0.875,1,cem,80,,0.0625
R0.875_w1,0.875,1,cem,160,,0.0625
R0.875_w1,0.875,1,cem,240,,0.0125
R0.875_w1,0.875,1,cem,320,,0.0125
R0.875_w1,0.875,1,cem,400,,0.0125
R0.875_w1,0.875,1,cem,480,,0.0125
R0.875_w1,0.875,1,cem,560,,0.0125
R0.875_w1,0.875,1,cem,640,,0.0000
R0.875_w1,0.875,1,cem,720,,0.0000
R0.875_w1,0.875,1,cem,800,,0.0000
R0.875_w1,0.875,1,random,80,,0.0500
R0.875_w1,0.875,1,random,160,,0.0125
R0.875_w1,0.875,1,random,240,,0.0125
R0.875_w1,0.875,1,random,320,,0.0125
R0.875_w1,0.875,1,random,400,,0.0125
R0.875_w1,0.875,1,random,480,,0.0125
R0.875_w1,0.875,1,random,560,,0.0125
R0.875_w1,0.875,1,random,640,,0.0125
R0.875_w1,0.875,1,random,720,,0.0125
R0.875_w1,0.875,1,random,800,,0.0125
R0.875_w2,0.875,2,rl,80,-0.1656,0.2125
R0.875_w2,0.875,2,rl,160,-0.1203,0.0750
R0.875_w2,0.875,2,rl,240,-0.1469,0.0750
R0.875_w2,0.875,2,rl,320,-0.2453,0.0750
R0.875_w2,0.875,2,rl,400,-0.1359,0.0750
R0.875_w2,0.875,2,rl,480,-0.2250,0.0750
R0.875_w2,0.875,2,rl,560,-0.1875,0.0750
R0.875_w2,0.875,2,rl,640,-0.0859,0.0500
R0.875_w2,0.875,2,rl,720,-0.0750,0.0500
R0.875_w2,0.875,2,rl,800,-0.2594,0.0500
R0.875_w2,0.875,2,rl_peredge,80,-0.3625,0.1000
R0.875_w2,0.875,2,rl_peredge,160,-0.2359,0.0500
R0.875_w2,0.875,2,rl_peredge,240,-0.1672,0.0500
R0.875_w2,0.875,2,rl_peredge,320,-0.2250,0.0500
R0.875_w2,0.875,2,rl_peredge,400,-0.1281,0.0500
R0.875_w2,0.875,2,rl_peredge,480,-0.1516,0.0500
R0.875_w2,0.875,2,rl_peredge,560,-0.1594,0.0500
R0.875_w2,0.875,2,rl_peredge,640,-0.2078,0.0500
R0.875_w2,0.875,2,rl_peredge,720,-0.0859,0.0500
R0.875_w2,0.875,2,rl_peredge,800,-0.0766,0.0500
R0.875_w2,0.875,2,cem,80,,0.2625
R0.875_w2,0.875,2,cem,160,,0.0750
R0.875_w2,0.875,2,cem,240,,0.0750
R0.875_w2,0.875,2,cem,320,,0.0750
R0.875_w2,0.875,2,cem,400,,0.0750
R0.875_w2,0.875,2,cem,480,,0.0750
R0.875_w2,0.875,2,cem,560,,0.0625
R0.875_w2,0.875,2,cem,640,,0.0625
R0.875_w2,0.875,2,cem,720,,0.0625
R0.875_w2,0.875,2,cem,800,,0.0625
R0.875_w2,0.875,2,random,80,,0.2250
R0.875_w2,0.875,2,random,160,,0.2250
R0.875_w2,0.875,2,random,240,,0.1375
R0.875_w2,0.875,2,random,320,,0.1375
R0.875_w2,0.875,2,random,400,,0.1375
R0.875_w2,0.875,2,random,480,,0.1375
R0.875_w2,0.875,2,random,560,,0.1125
R0.875_w2,0.875,2,random,640,,0.0750
R0.875_w2,0.875,2,random,720,,0.0750
R0.875_w2,0.875,2,random,800,,0.0750
R0.875_w3,0.875,3,rl,80,-0.3422,0.2375
R0.875_w3,0.875,3,rl,160,-0.1078,0.0375
R0.875_w3,0.875,3,rl,240,-0.1594,0.0250
R0.875_w3,0.875,3,rl,320,-0.0984,0.0000
R0.875_w3,0.875,3,rl,400,-0.0281,0.0000
R0.875_w3,0.875,3,rl,480,-0.0234,0.0000
R0.875_w3,0.875,3,rl,560,-0.0125,0.0000
R0.875_w3,0.875,3,rl,640,-0.0016,0.0000
R0.875_w3,0.875,3,rl,720,-0.0031,0.0000
R0.875_w3,0.875,3,rl,800,-0.0109,0.0000
R0.875_w3,0.875,3,rl_peredge,80,-0.4016,0.0875
R0.875_w3,0.875,3,rl_peredge,160,-0.2359,0.0125
R0.875_w3,0.875,3,rl_peredge,240,-0.2641,0.0125
R0.875_w3,0.875,3,rl_peredge,320,-0.1313,0.0125
R0.875_w3,0.875,3,rl_peredge,400,-0.0844,0.0125
R0.875_w3,0.875,3,rl_peredge,480,-0.0984,0.0000
R0.875_w3,0.875,3,rl_peredge,560,-0.0750,0.0000
R0.875_w3,0.875,3,rl_peredge,640,-0.0500,0.0000
R0.875_w3,0.875,3,rl_peredge,720,-0.0328,0.0000
R0.875_w3,0.875,3,rl_peredge,800,-0.0312,0.0000
R0.875_w3,0.875,3,cem,80,,0.0625
R0.875_w3,0.875,3,cem,160,,0.0625
R0.875_w3,0.875,3,cem,240,,0.0375
R0.875_w3,0.875,3,cem,320,,0.0375
R0.875_w3,0.875,3,cem,400,,0.0375
R0.875_w3,0.875,3,cem,480,,0.0125
R0.875_w3,0.875,3,cem,560,,0.0125
R0.875_w3,0.875,3,cem,640,,0.0125
R0.875_w3,0.875,3,cem,720,,0.0125
R0.875_w3,0.875,3,cem,800,,0.0125
R0.875_w3,0.875,3,random,80,,0.0125
R0.875_w3,0.875,3,random,160,,0.0125
R0.875_w3,0.875,3,random,240,,0.0125
R0.875_w3,0.875,3,random,320,,0.0125
R0.875_w3,0.875,3,random,400,,0.0125
R0.875_w3,0.875,3,random,480,,0.0000
R0.875_w3,0.875,3,random,560,,0.0000
R0.875_w3,0.875,3,random,640,,0.0000
R0.875_w3,0.875,3,random,720,,0.0000
R0.875_w3,0.875,3,random,800,,0.0000
